MedIncome,MedHouseValue
"20313.00","112500.00"
"18827.00","48700.00"
"18894.00","112500.00"
"22917.00","112500.00"
"17432.00","42500.00"
"19091.00","71300.00"
"39000.00","85900.00"
"20586.00","40900.00"
"31528.00","113700.00"
"17106.00","95500.00"
"16354.00","49000.00"
"23194.00","52900.00"
"16452.00","41500.00"
"21477.00","53900.00"
"19439.00","62100.00"
"23750.00","79800.00"
"29208.00","98500.00"
"27298.00","103400.00"
"25893.00","63600.00"
"36786.00","72900.00"
"30278.00","77400.00"
"40217.00","99200.00"
"15893.00","52000.00"
"41856.00","72100.00"
"30000.00","71000.00"
"32042.00","76200.00"
"17031.00","64600.00"
"17756.00","62900.00"
"31625.00","70600.00"
"30234.00","88600.00"
"18857.00","55500.00"
"26944.00","67700.00"
"32500.00","80600.00"
"22277.00","78000.00"
"24167.00","77600.00"
"15911.00","60800.00"
"16146.00","53100.00"
"16103.00","50900.00"
"23792.00","90000.00"
"23430.00","47400.00"
"15506.00","52300.00"
"19750.00","51400.00"
"29750.00","63900.00"
"17564.00","42600.00"
"40833.00","81300.00"
"29815.00","73000.00"
"21620.00","51900.00"
"13952.00","43100.00"
"16812.00","47700.00"
"13807.00","53100.00"
"22202.00","65200.00"
"23516.00","47500.00"
"13676.00","47800.00"
"17372.00","51000.00"
"18810.00","52500.00"
"15050.00","42700.00"
"21434.00","62600.00"
"24167.00","58300.00"
"18144.00","49800.00"
"17572.00","53300.00"
"15069.00","43700.00"
"16300.00","49500.00"
"16469.00","47600.00"
"26576.00","65700.00"
"18750.00","51700.00"
"18462.00","55800.00"
"37794.00","96200.00"
"26544.00","112600.00"
"32120.00","105200.00"
"26696.00","121200.00"
"21513.00","86700.00"
"25417.00","123200.00"
"24191.00","217500.00"
"23571.00","113400.00"
"16021.00","91400.00"
"25781.00","104800.00"
"40583.00","87500.00"
"29083.00","104600.00"
"26544.00","128100.00"
"25729.00","118800.00"
"26094.00","139100.00"
"21289.00","115300.00"
"36875.00","186000.00"
"38203.00","139700.00"
"32875.00","111300.00"
"36838.00","145700.00"
"31875.00","99800.00"
"30729.00","105100.00"
"25170.00","153500.00"
"35000.00","170700.00"
"25562.00","136200.00"
"29457.00","116500.00"
"27188.00","137000.00"
"4999.00","162500.00"
"31076.00","115800.00"
"20625.00","88900.00"
"21250.00","132500.00"
"35000.00","107100.00"
"31250.00","148600.00"
"31523.00","93300.00"
"21538.00","153300.00"
"16250.00","79400.00"
"20057.00","68200.00"
"33750.00","134100.00"
"16750.00","112500.00"
"35714.00","149500.00"
"20057.00","118900.00"
"24740.00","120100.00"
"30500.00","144800.00"
"43750.00","100000.00"
"23056.00","162500.00"
"24615.00","137500.00"
"32589.00","137900.00"
"34838.00","112500.00"
"40833.00","137500.00"
"34861.00","137500.00"
"20060.00","103000.00"
"25129.00","115900.00"
"24922.00","98700.00"
"21094.00","164000.00"
"36250.00","99400.00"
"24000.00","177000.00"
"44231.00","87500.00"
"31719.00","115400.00"
"33438.00","156300.00"
"22222.00","262500.00"
"24167.00","191700.00"
"27000.00","120400.00"
"61244.00","375000.00"
"44219.00","338100.00"
"46607.00","187900.00"
"37092.00","190500.00"
"33152.00","198000.00"
"30893.00","173400.00"
"42599.00","209100.00"
"32024.00","176100.00"
"15781.00","134400.00"
"39464.00","230300.00"
"36453.00","201700.00"
"28417.00","162500.00"
"26991.00","181300.00"
"26786.00","184000.00"
"53582.00","281300.00"
"27951.00","199300.00"
"18618.00","183300.00"
"20682.00","158300.00"
"22443.00","146600.00"
"40122.00","214800.00"
"32757.00","186000.00"
"27593.00","194800.00"
"35541.00","191800.00"
"40750.00","237900.00"
"24185.00","189900.00"
"24777.00","260300.00"
"40074.00","434700.00"
"32026.00","227600.00"
"66257.00","427600.00"
"57500.00","325000.00"
"50000.00","357900.00"
"53080.00","297900.00"
"77500.00","375000.00"
"41319.00","245000.00"
"24375.00","225000.00"
"25441.00","161200.00"
"24659.00","231300.00"
"126320.00","500001.00"
"24595.00","197600.00"
"26893.00","230800.00"
"32279.00","243100.00"
"27019.00","234700.00"
"48105.00","313000.00"
"35822.00","219900.00"
"42656.00","241400.00"
"46900.00","199300.00"
"32917.00","225000.00"
"52953.00","279400.00"
"52681.00","500001.00"
"29800.00","259200.00"
"48583.00","224200.00"
"56885.00","268200.00"
"63110.00","283200.00"
"29821.00","175700.00"
"48472.00","500001.00"
"24750.00","225000.00"
"31618.00","154200.00"
"40000.00","219200.00"
"47630.00","232700.00"
"59181.00","221100.00"
"22500.00","75000.00"
"52150.00","279500.00"
"60661.00","234800.00"
"40905.00","236500.00"
"61885.00","267300.00"
"32158.00","223600.00"
"23750.00","55000.00"
"42448.00","157300.00"
"34018.00","145200.00"
"34450.00","203400.00"
"33452.00","217600.00"
"41845.00","199500.00"
"51752.00","218000.00"
"55275.00","228900.00"
"41667.00","214600.00"
"49079.00","234100.00"
"54087.00","223200.00"
"38162.00","235000.00"
"38889.00","187500.00"
"34006.00","219400.00"
"50679.00","234300.00"
"42381.00","229300.00"
"67290.00","409300.00"
"57601.00","281100.00"
"69483.00","404300.00"
"55048.00","303600.00"
"55330.00","299700.00"
"47333.00","257500.00"
"35819.00","231900.00"
"30799.00","254100.00"
"48824.00","396400.00"
"52261.00","303200.00"
"44038.00","229100.00"
"48977.00","358200.00"
"41250.00","349000.00"
"53254.00","385200.00"
"35294.00","323900.00"
"35385.00","186800.00"
"26333.00","170800.00"
"23669.00","165300.00"
"19286.00","160500.00"
"39063.00","192700.00"
"23147.00","192500.00"
"16007.00","187500.00"
"36007.00","395500.00"
"41898.00","359100.00"
"29018.00","275000.00"
"61940.00","500001.00"
"40900.00","203800.00"
"31757.00","206300.00"
"23750.00","198400.00"
"35893.00","206600.00"
"46667.00","384600.00"
"30089.00","166700.00"
"35000.00","221200.00"
"32792.00","220500.00"
"38125.00","244500.00"
"26700.00","214900.00"
"47727.00","219000.00"
"37337.00","209000.00"
"36413.00","212700.00"
"40069.00","214300.00"
"80000.00","275000.00"
"56756.00","301800.00"
"32847.00","112500.00"
"33750.00","218800.00"
"31250.00","219900.00"
"45000.00","234300.00"
"39063.00","198700.00"
"41949.00","197100.00"
"31103.00","143500.00"
"19704.00","160300.00"
"30150.00","149300.00"
"23077.00","106900.00"
"38625.00","234700.00"
"43897.00","257600.00"
"42227.00","235400.00"
"29185.00","224500.00"
"21542.00","253900.00"
"38239.00","208200.00"
"30870.00","213900.00"
"33409.00","220500.00"
"16953.00","167400.00"
"26964.00","170800.00"
"15625.00","87500.00"
"43693.00","423300.00"
"64522.00","500001.00"
"36875.00","500001.00"
"37480.00","380400.00"
"47443.00","229500.00"
"50350.00","242900.00"
"44292.00","231200.00"
"50016.00","218500.00"
"42212.00","185400.00"
"32212.00","180500.00"
"46186.00","181100.00"
"28561.00","179100.00"
"32196.00","175800.00"
"29118.00","172400.00"
"42137.00","185600.00"
"35867.00","182100.00"
"26667.00","164900.00"
"40074.00","188000.00"
"36597.00","195100.00"
"32314.00","186800.00"
