MedIncome,MedHouseValue
"83252.00","452600.00"
"83014.00","358500.00"
"72574.00","352100.00"
"56431.00","341300.00"
"38462.00","342200.00"
"40368.00","269700.00"
"36591.00","299200.00"
"31200.00","241400.00"
"20804.00","226700.00"
"36912.00","261100.00"
"32031.00","281500.00"
"32705.00","241800.00"
"30750.00","213500.00"
"26736.00","191300.00"
"19167.00","159200.00"
"21250.00","140000.00"
"27750.00","152500.00"
"21202.00","155500.00"
"19911.00","158700.00"
"26033.00","162900.00"
"13578.00","147500.00"
"17135.00","159800.00"
"17250.00","113900.00"
"21806.00","99700.00"
"26000.00","132600.00"
"24038.00","107500.00"
"24597.00","93800.00"
"18080.00","105500.00"
"16424.00","108900.00"
"16875.00","132000.00"
"19274.00","122300.00"
"19615.00","115200.00"
"17969.00","110400.00"
"13750.00","104900.00"
"27303.00","109700.00"
"14861.00","97200.00"
"10972.00","104500.00"
"14103.00","103900.00"
"34800.00","191400.00"
"25898.00","176000.00"
"20978.00","155400.00"
"12852.00","150000.00"
"10250.00","118800.00"
"39643.00","188800.00"
"30125.00","184400.00"
"26768.00","182300.00"
"20260.00","142500.00"
"17348.00","137500.00"
"9506.00","187500.00"
"17750.00","112500.00"
"9218.00","171900.00"
"15045.00","93800.00"
"11108.00","97500.00"
"12475.00","104200.00"
"16098.00","87500.00"
"14113.00","83100.00"
"15057.00","87500.00"
"8172.00","85300.00"
"12171.00","80300.00"
"25625.00","60000.00"
"33929.00","75700.00"
"61183.00","75000.00"
"9011.00","86100.00"
"11910.00","76100.00"
"25938.00","73500.00"
"11667.00","78400.00"
"8056.00","84400.00"
"26094.00","81300.00"
"18516.00","85000.00"
"9802.00","129200.00"
"17719.00","82500.00"
"7286.00","95200.00"
"17500.00","75000.00"
"4999.00","67500.00"
"24830.00","137500.00"
"9241.00","177500.00"
"24464.00","102100.00"
"11111.00","108300.00"
"8026.00","112500.00"
"20114.00","131300.00"
"15000.00","162500.00"
"11667.00","112500.00"
"15208.00","112500.00"
"8075.00","137500.00"
"18088.00","118800.00"
"24083.00","98200.00"
"9770.00","118800.00"
