MedIncome,MedHouseValue
"73522.00","363800.00"
"73550.00","343900.00"
"73561.00","500001.00"
"73588.00","327500.00"
"73644.00","419700.00"
"73658.00","288500.00"
"73669.00","187500.00"
"73672.00","500001.00"
"73681.00","353100.00"
"73693.00","373600.00"
"73715.00","263000.00"
"73718.00","212500.00"
"73719.00","337400.00"
"73731.00","390800.00"
"73732.00","287300.00"
"73750.00","338400.00"
"73753.00","388100.00"
"73769.00","302400.00"
"73841.00","172200.00"
"73843.00","405000.00"
"73861.00","267000.00"
"73878.00","318300.00"
"73982.00","369100.00"
"74001.00","500001.00"
"74029.00","345700.00"
"74046.00","446800.00"
"74056.00","374200.00"
"74111.00","469100.00"
"74141.00","236500.00"
"74185.00","500001.00"
"74190.00","483700.00"
"74201.00","229700.00"
"74219.00","500001.00"
"74323.00","311800.00"
"74351.00","445700.00"
"74353.00","389800.00"
"74382.00","353100.00"
"74390.00","500001.00"
"74542.00","500001.00"
"74559.00","456500.00"
"74570.00","392700.00"
"74574.00","500001.00"
"74581.00","296600.00"
"74597.00","500001.00"
"74678.00","500001.00"
"74713.00","351200.00"
"74720.00","439900.00"
"74729.00","431600.00"
"74734.00","432200.00"
"74787.00","431300.00"
"74817.00","500001.00"
"74837.00","358700.00"
"74863.00","412300.00"
"74882.00","319300.00"
"74897.00","362600.00"
"74918.00","367600.00"
"74940.00","439200.00"
"74947.00","366300.00"
"75000.00","295200.00"
"75057.00","328500.00"
"75078.00","344000.00"
"75080.00","348700.00"
"75112.00","355500.00"
"75118.00","361900.00"
"75139.00","398200.00"
"75177.00","330000.00"
"75196.00","380900.00"
"75197.00","275000.00"
"75200.00","370200.00"
"75210.00","340400.00"
"75218.00","291500.00"
"75274.00","500001.00"
"75286.00","462700.00"
"75337.00","406800.00"
"75349.00","349100.00"
"75372.00","432600.00"
"75385.00","350000.00"
"75402.00","340300.00"
"75408.00","271900.00"
"75412.00","392100.00"
"75418.00","492000.00"
"75426.00","351700.00"
"75443.00","348400.00"
"75488.00","278100.00"
"75544.00","411500.00"
"75552.00","500001.00"
"75557.00","441400.00"
"75582.00","263700.00"
"75594.00","500001.00"
"75604.00","327900.00"
"75619.00","302000.00"
