MedIncome,MedHouseValue
"44464.00","353100.00"
"36629.00","353200.00"
"62498.00","353300.00"
"28981.00","353600.00"
"53922.00","353700.00"
"34412.00","353800.00"
"40231.00","353900.00"
"27717.00","354000.00"
"49000.00","354200.00"
"48405.00","354300.00"
"41473.00","354400.00"
"27587.00","354500.00"
"67123.00","354600.00"
"35414.00","354700.00"
"78537.00","354900.00"
"51540.00","355100.00"
"53570.00","355200.00"
"29643.00","355300.00"
"75112.00","355500.00"
"56349.00","355600.00"
"72929.00","355800.00"
"52853.00","355900.00"
"60286.00","356000.00"
"46932.00","356100.00"
"54035.00","356300.00"
"46293.00","356500.00"
"64517.00","356600.00"
"63942.00","356700.00"
"47026.00","356800.00"
"47062.00","357000.00"
"71670.00","357100.00"
"62673.00","357200.00"
"78864.00","357300.00"
"65234.00","357400.00"
"66122.00","357600.00"
"35352.00","357800.00"
"70217.00","357900.00"
"42333.00","358000.00"
"48977.00","358200.00"
"53990.00","358500.00"
"48684.00","358600.00"
"28514.00","358700.00"
"58777.00","358800.00"
"63054.00","359000.00"
"41898.00","359100.00"
"71882.00","359200.00"
"76518.00","359300.00"
"52999.00","359400.00"
"66800.00","359500.00"
"25933.00","359600.00"
"51778.00","359900.00"
"20278.00","360000.00"
"66312.00","360100.00"
"39489.00","360200.00"
"69695.00","360400.00"
"45781.00","360500.00"
"28448.00","360600.00"
"51377.00","360700.00"
"33565.00","360800.00"
"53727.00","360900.00"
"45486.00","361000.00"
"47833.00","361100.00"
"69508.00","361200.00"
"37030.00","361300.00"
"62350.00","361400.00"
"37039.00","361500.00"
"81900.00","361600.00"
"54925.00","361700.00"
"35292.00","361800.00"
"35322.00","361900.00"
"48966.00","362100.00"
"25990.00","362200.00"
"53972.00","362300.00"
"58283.00","362400.00"
"31475.00","362500.00"
"41169.00","362600.00"
"62154.00","362700.00"
"63302.00","362800.00"
"71754.00","362900.00"
"61953.00","363000.00"
"40229.00","363100.00"
"41861.00","363200.00"
"53705.00","363500.00"
"56787.00","363600.00"
"42232.00","363700.00"
