MedIncome,MedHouseValue
"41932.00","14999.00"
"7917.00","22500.00"
"8571.00","25000.00"
"23013.00","26600.00"
"21955.00","26900.00"
"27377.00","28300.00"
"12132.00","30000.00"
"16420.00","32500.00"
"11471.00","32900.00"
"17614.00","33200.00"
"10667.00","34200.00"
"21458.00","34400.00"
"23832.00","35000.00"
"9288.00","36600.00"
"10486.00","36700.00"
"21652.00","37500.00"
"19417.00","38800.00"
"21771.00","39200.00"
"13289.00","39400.00"
"10513.00","39600.00"
"19107.00","39800.00"
"34145.00","40400.00"
"20586.00","40900.00"
"11728.00","41700.00"
"22045.00","41800.00"
"20441.00","42100.00"
"6960.00","42500.00"
"17564.00","42600.00"
"12617.00","42700.00"
"13569.00","43100.00"
"12344.00","43300.00"
"26477.00","43500.00"
"9407.00","43600.00"
"15069.00","43700.00"
"18967.00","43800.00"
"14338.00","43900.00"
"12049.00","44000.00"
"13047.00","44100.00"
"14923.00","44400.00"
"13278.00","44500.00"
"17109.00","44600.00"
"17011.00","44800.00"
"8585.00","45000.00"
"10585.00","45100.00"
"13587.00","45300.00"
"12545.00","45500.00"
"11786.00","45600.00"
"18839.00","46300.00"
"13967.00","46500.00"
"14635.00","46600.00"
"11230.00","46700.00"
"12618.00","46900.00"
"9675.00","47100.00"
"23430.00","47400.00"
"15122.00","47500.00"
"16469.00","47600.00"
"14427.00","47700.00"
"11136.00","47800.00"
"20802.00","47900.00"
"9951.00","48000.00"
"13904.00","48100.00"
"14934.00","48300.00"
"10481.00","48500.00"
"14015.00","48700.00"
"20781.00","48800.00"
"17197.00","48900.00"
"17566.00","49000.00"
"12101.00","49100.00"
"20857.00","49200.00"
"12232.00","49300.00"
"8639.00","49400.00"
"13922.00","49500.00"
"13720.00","49600.00"
"14577.00","49800.00"
"10648.00","50000.00"
"15909.00","50100.00"
"15313.00","50300.00"
"9513.00","50400.00"
"15319.00","50500.00"
"12634.00","50600.00"
"11875.00","50700.00"
"18641.00","50800.00"
"16103.00","50900.00"
"14024.00","51000.00"
"17462.00","51100.00"
"19907.00","51200.00"
"12639.00","51300.00"
"13222.00","51400.00"
"15642.00","51500.00"
"10560.00","51600.00"
"11607.00","51700.00"
"7990.00","51800.00"
"15770.00","51900.00"
"12937.00","52000.00"
"15170.00","52100.00"
"20221.00","52200.00"
"14267.00","52300.00"
"17467.00","52400.00"
"9365.00","52500.00"
"14598.00","52600.00"
"17039.00","52700.00"
"16458.00","52800.00"
"23912.00","52900.00"
"12500.00","53000.00"
"12700.00","53100.00"
"20331.00","53200.00"
"11650.00","53300.00"
"14958.00","53400.00"
"14812.00","53500.00"
"17308.00","53600.00"
