weight,mpg
"4732.00","9.00"
"4376.00","10.00"
"3664.00","11.00"
"4456.00","12.00"
"3169.00","13.00"
"3086.00","14.00"
"3158.00","15.00"
"3962.00","15.50"
"3278.00","16.00"
"3820.00","16.50"
"4360.00","16.90"
"3140.00","17.00"
"3193.00","17.50"
"3465.00","17.60"
"3445.00","17.70"
"2124.00","18.00"
"3205.00","18.10"
"3830.00","18.20"
"3525.00","18.50"
"3620.00","18.60"
"2310.00","19.00"
"3381.00","19.10"
"3535.00","19.20"
"3210.00","19.40"
"2990.00","19.80"
"3365.00","19.90"
"2279.00","20.00"
"2965.00","20.20"
"2830.00","20.30"
"3155.00","20.50"
"3360.00","20.60"
"3070.00","20.80"
"2226.00","21.00"
"2515.00","21.10"
"2600.00","21.50"
"2795.00","21.60"
"2379.00","22.00"
"2890.00","22.30"
"3415.00","22.40"
"3085.00","22.50"
"2220.00","23.00"
"2745.00","23.20"
"2725.00","23.50"
"2905.00","23.60"
"2420.00","23.70"
"2855.00","23.80"
"2405.00","23.90"
"2108.00","24.00"
"3003.00","24.30"
"2740.00","24.50"
"2046.00","25.00"
"2900.00","25.40"
"2755.00","25.50"
"2620.00","25.80"
"1835.00","26.00"
"2870.00","26.40"
"2565.00","26.50"
"2635.00","26.60"
"2700.00","26.80"
"1834.00","27.00"
"2490.00","27.20"
"2670.00","27.40"
"2560.00","27.50"
"2800.00","27.90"
"2123.00","28.00"
"3230.00","28.10"
"2595.00","28.80"
"1867.00","29.00"
"1825.00","29.50"
"1845.00","29.80"
"2380.00","29.90"
"1985.00","30.00"
"2051.00","30.50"
"3160.00","30.70"
"2230.00","30.90"
"1649.00","31.00"
"2045.00","31.50"
"2020.00","31.80"
"1925.00","31.90"
"1836.00","32.00"
"2120.00","32.10"
"2290.00","32.40"
"2910.00","32.70"
"2615.00","32.90"
"1795.00","33.00"
"1945.00","33.50"
"2210.00","33.70"
"2145.00","33.80"
"2245.00","34.00"
"1975.00","34.10"
