weight,mpg
"1613.00","35.00"
"1649.00","31.00"
"1755.00","39.10"
"1760.00","35.10"
"1773.00","31.00"
"1795.00","33.00"
"1800.00","36.10"
"1825.00","29.50"
"1834.00","27.00"
"1835.00","26.00"
"1836.00","32.00"
"1845.00","29.80"
"1850.00","44.60"
"1867.00","29.00"
"1875.00","39.00"
"1915.00","35.70"
"1925.00","31.90"
"1937.00","29.00"
"1940.00","29.00"
"1945.00","33.50"
"1950.00","26.00"
"1955.00","26.00"
"1963.00","26.00"
"1965.00","38.00"
"1968.00","38.10"
"1970.00","31.00"
"1975.00","34.10"
"1980.00","36.00"
"1985.00","30.00"
"1990.00","32.00"
"1995.00","38.00"
"2000.00","31.00"
"2003.00","32.00"
"2019.00","37.20"
"2020.00","31.80"
"2025.00","37.00"
"2035.00","29.00"
"2045.00","31.50"
"2046.00","25.00"
"2050.00","37.70"
"2051.00","30.50"
"2065.00","30.00"
"2070.00","39.40"
"2074.00","30.00"
"2075.00","33.50"
"2085.00","44.30"
"2100.00","27.00"
"2108.00","24.00"
"2110.00","46.60"
"2120.00","32.10"
"2123.00","28.00"
"2124.00","18.00"
"2125.00","28.00"
"2126.00","25.00"
"2130.00","27.00"
"2135.00","29.50"
"2144.00","41.50"
"2145.00","33.80"
"2150.00","34.50"
"2155.00","28.00"
"2158.00","24.00"
"2160.00","36.00"
"2164.00","28.00"
"2171.00","29.00"
"2188.00","34.30"
"2189.00","26.00"
"2190.00","30.50"
"2200.00","34.20"
"2202.00","27.00"
"2205.00","36.00"
"2210.00","33.70"
"2215.00","34.70"
"2219.00","29.00"
"2220.00","23.00"
"2223.00","25.00"
"2226.00","21.00"
"2228.00","25.00"
"2230.00","30.90"
"2234.00","26.00"
"2245.00","34.00"
"2246.00","26.00"
"2254.00","23.00"
"2255.00","26.00"
"2264.00","28.00"
"2265.00","26.00"
"2278.00","24.00"
"2279.00","20.00"
"2288.00","28.00"
"2290.00","32.40"
"2295.00","32.00"
"2300.00","26.00"
"2310.00","19.00"
"2320.00","34.50"
"2330.00","19.00"
"2335.00","43.40"
"2350.00","32.40"
"2370.00","36.00"
"2372.00","24.00"
"2375.00","25.00"
"2379.00","22.00"
"2380.00","29.90"
"2385.00","30.00"
"2391.00","26.00"
"2395.00","22.00"
"2401.00","21.00"
"2405.00","23.90"
"2408.00","22.00"
"2420.00","23.70"
"2430.00","24.00"
"2434.00","37.00"
"2451.00","26.00"
"2464.00","28.00"
"2472.00","21.00"
"2489.00","24.00"
"2490.00","27.20"
"2500.00","35.00"
"2506.00","23.00"
"2511.00","22.00"
"2515.00","21.10"
"2525.00","29.00"
"2542.00","25.00"
"2545.00","24.00"
"2556.00","33.50"
"2560.00","27.50"
"2565.00","26.50"
"2572.00","25.00"
"2575.00","31.00"
"2582.00","20.00"
"2585.00","26.00"
"2587.00","21.00"
"2592.00","23.00"
"2595.00","28.80"
"2600.00","21.50"
"2605.00","28.00"
"2615.00","32.90"
"2620.00","25.80"
"2625.00","28.00"
"2634.00","19.00"
"2635.00","26.60"
"2639.00","23.00"
"2640.00","27.00"
"2648.00","21.00"
"2660.00","24.00"
"2665.00","32.00"
"2670.00","27.40"
"2671.00","25.00"
"2672.00","25.00"
"2678.00","28.00"
"2694.00","23.00"
"2700.00","26.80"
"2702.00","24.00"
"2711.00","29.80"
"2720.00","21.50"
"2725.00","23.50"
"2735.00","27.00"
"2740.00","24.50"
"2745.00","23.20"
"2755.00","25.50"
"2774.00","18.00"
"2789.00","18.00"
"2790.00","27.00"
"2795.00","21.60"
"2800.00","27.90"
"2807.00","20.00"
"2815.00","22.00"
"2830.00","20.30"
"2833.00","22.00"
"2835.00","22.00"
"2855.00","23.80"
"2865.00","24.00"
"2868.00","19.00"
"2870.00","26.40"
"2875.00","21.00"
"2890.00","22.30"
"2900.00","25.40"
"2901.00","19.00"
"2904.00","23.00"
"2905.00","23.60"
"2910.00","32.70"
"2914.00","20.00"
"2930.00","19.00"
"2933.00","18.00"
"2945.00","18.00"
"2950.00","36.40"
"2957.00","23.00"
"2962.00","18.00"
"2965.00","20.20"
"2979.00","21.00"
"2984.00","18.00"
"2990.00","19.80"
"3003.00","24.30"
"3012.00","24.00"
"3015.00","38.00"
"3021.00","18.00"
"3035.00","23.00"
"3039.00","21.00"
"3060.00","20.20"
"3070.00","20.80"
"3085.00","22.50"
"3086.00","14.00"
"3102.00","20.00"
"3121.00","18.00"
"3139.00","18.00"
"3140.00","17.00"
"3150.00","20.00"
"3155.00","20.50"
"3158.00","15.00"
"3160.00","30.70"
"3169.00","13.00"
"3190.00","27.20"
"3193.00","17.50"
"3205.00","18.10"
"3210.00","19.40"
"3211.00","19.00"
"3221.00","20.00"
"3230.00","28.10"
"3233.00","22.00"
"3245.00","21.50"
"3250.00","30.00"
"3264.00","19.00"
"3265.00","20.20"
"3270.00","19.00"
"3278.00","16.00"
"3282.00","19.00"
"3288.00","18.00"
"3302.00","19.00"
"3329.00","17.00"
"3336.00","15.00"
"3353.00","22.00"
"3360.00","20.60"
"3365.00","19.90"
"3380.00","20.60"
"3381.00","19.10"
"3399.00","15.00"
"3410.00","18.10"
"3415.00","22.40"
"3420.00","23.90"
"3425.00","20.50"
"3430.00","20.50"
"3432.00","15.00"
"3433.00","16.00"
"3436.00","18.00"
