distance to the nearest MRT station,house price of unit area
"393.26","7.60"
"6488.02","11.20"
"6396.28","12.20"
"1156.78","12.80"
"4197.35","13.00"
"4510.36","13.20"
"4605.75","13.40"
"1160.63","13.70"
"1159.45","13.80"
"4527.69","14.40"
"4074.74","14.70"
"6306.15","15.00"
"4449.27","15.50"
"4082.02","15.90"
"1146.33","16.10"
"4412.77","17.40"
"2707.39","17.70"
"4066.59","18.20"
"1264.73","18.30"
"5512.04","18.80"
"1156.41","19.00"
"4573.78","19.20"
"1758.41","20.70"
"1009.24","20.80"
"1828.32","20.90"
"1931.21","21.30"
"1449.72","21.40"
"1447.29","21.50"
"2179.59","21.80"
"3078.18","22.00"
"1783.18","22.10"
"1013.34","22.80"
"1935.01","22.90"
"1055.07","23.10"
"1962.63","23.50"
"1497.71","23.60"
"1157.99","23.80"
"2216.61","23.90"
"2288.01","24.40"
"395.67","24.50"
"1360.14","24.60"
"1643.50","24.70"
"1801.54","24.80"
"769.40","25.00"
"995.76","25.30"
"2103.56","25.60"
"2674.96","25.70"
"1735.60","25.90"
"339.23","26.50"
"272.68","26.90"
"1438.58","27.00"
"1756.41","27.30"
"2175.88","27.70"
"2175.74","28.10"
"2147.38","28.40"
"567.03","28.50"
"2180.25","28.60"
"1712.63","28.80"
"1559.83","28.90"
"2275.88","29.30"
"1626.08","29.40"
"2261.43","29.50"
"837.72","29.70"
"552.44","29.80"
"424.71","30.00"
"392.45","30.50"
"1236.56","30.60"
"1485.10","30.70"
"600.86","30.90"
"1554.25","31.10"
"1939.75","31.30"
"642.70","31.50"
"451.64","31.60"
"918.64","31.90"
"2175.03","32.10"
"333.37","32.40"
"414.95","32.50"
"170.13","32.90"
"187.48","33.10"
"2077.39","33.40"
"276.45","33.60"
"512.79","34.10"
"488.57","34.20"
"1164.84","34.30"
"461.10","34.60"
"519.46","34.70"
"401.88","35.10"
"443.80","35.30"
"815.93","35.60"
"461.78","35.70"
"464.22","36.20"
"258.19","36.30"
"337.60","36.50"
"707.91","36.60"
"757.34","36.70"
"377.80","36.80"
"156.24","36.90"
"490.34","37.00"
"130.99","37.20"
"350.85","37.40"
"482.76","37.50"
"750.07","37.80"
"84.88","37.90"
"335.53","38.10"
"964.75","38.20"
"488.82","38.30"
"439.71","38.40"
"377.83","38.60"
"480.70","38.80"
"732.85","39.00"
"157.61","39.10"
"250.63","39.30"
"196.62","39.40"
"373.39","39.50"
"617.71","39.60"
"161.94","39.70"
"967.40","40.00"
"265.06","40.20"
"506.11","40.30"
"372.14","40.50"
"389.82","40.60"
"372.62","40.80"
"175.63","40.90"
"167.60","41.00"
"3085.17","41.20"
"405.21","41.40"
"371.25","41.90"
"181.08","42.00"
"186.97","42.20"
"368.14","42.30"
"336.05","42.40"
"197.13","42.50"
"438.85","42.60"
"57.59","42.70"
"270.89","42.90"
"390.57","43.10"
"489.88","43.20"
"330.09","43.40"
"942.47","43.50"
"383.28","43.70"
"444.13","43.90"
"512.55","44.20"
"123.74","44.30"
"387.77","44.70"
"3780.59","45.10"
"432.04","45.20"
"211.45","45.30"
"184.33","45.40"
"185.43","45.50"
"208.39","45.70"
"324.94","46.00"
"121.73","46.10"
"289.32","46.20"
"737.92","46.40"
"82.89","46.60"
"287.60","46.70"
"557.48","47.00"
