house age,house price of unit area
"0.00","70.10"
"1.00","50.70"
"1.10","54.40"
"1.50","47.70"
"1.70","50.40"
"1.80","27.00"
"1.90","40.50"
"2.00","33.40"
"2.10","45.50"
"2.30","45.40"
"2.50","36.90"
"2.60","55.00"
"2.70","53.90"
"3.10","56.20"
"3.20","43.20"
"3.40","54.40"
"3.50","53.50"
"3.60","58.80"
"3.70","41.60"
"3.80","55.00"
"3.90","31.70"
"4.00","28.40"
"4.10","62.10"
"4.30","45.20"
"4.50","29.30"
"4.60","53.70"
"4.70","44.80"
"4.80","21.70"
"4.90","44.70"
"5.00","43.10"
"5.10","28.90"
"5.20","52.20"
"5.30","63.20"
"5.40","49.50"
"5.60","24.70"
"5.70","53.50"
"5.90","52.70"
"6.20","58.00"
"6.30","58.10"
"6.40","59.50"
"6.50","40.90"
"6.60","59.00"
"6.80","54.40"
"7.10","32.10"
"7.50","40.80"
"7.60","27.70"
"7.80","38.40"
"8.00","51.80"
"8.10","51.60"
"8.30","42.80"
"8.40","23.50"
"8.50","56.80"
"8.90","48.00"
"9.00","38.50"
"9.10","43.20"
"9.70","49.30"
"9.90","23.10"
"10.00","43.50"
"10.10","47.90"
"10.30","24.70"
"10.40","33.60"
"10.50","51.60"
"10.80","117.50"
"11.00","21.30"
"11.40","46.80"
"11.50","26.20"
"11.60","39.40"
"11.80","40.30"
"11.90","28.40"
"12.00","25.30"
"12.20","26.60"
"12.30","29.50"
"12.40","31.30"
"12.50","42.00"
"12.60","42.50"
"12.70","32.90"
"12.80","21.40"
"12.90","42.50"
"13.00","39.30"
"13.10","36.70"
"13.20","34.30"
"13.30","47.30"
"13.50","23.60"
"13.60","15.90"
"13.70","30.60"
"13.80","20.00"
"13.90","27.30"
"14.00","42.60"
"14.10","21.80"
"14.20","24.80"
"14.40","50.20"
"14.60","26.50"
"14.70","24.60"
"14.80","7.60"
"15.00","34.40"
"15.10","43.70"
"15.20","29.30"
"15.40","55.10"
"15.50","37.40"
"15.60","46.10"
"15.70","38.10"
"15.90","53.00"
"16.00","11.60"
"16.10","51.70"
"16.20","46.20"
"16.30","20.50"
"16.40","51.00"
"16.50","49.30"
"16.60","59.60"
"16.70","16.70"
"16.80","18.20"
"16.90","42.30"
"17.00","18.80"
"17.10","40.00"
"17.20","27.70"
"17.30","43.90"
"17.40","25.50"
"17.50","25.30"
"17.60","31.10"
"17.70","37.40"
"17.80","23.70"
"17.90","22.10"
"18.00","26.50"
"18.10","20.90"
"18.20","31.60"
"18.30","46.60"
"18.40","25.70"
"18.50","28.10"
"18.80","40.60"
"18.90","20.80"
"19.00","22.30"
"19.10","34.00"
"19.20","47.00"
"19.50","42.20"
"19.80","37.50"
"20.00","29.40"
"20.20","22.80"
"20.30","46.70"
"20.40","23.80"
"20.50","25.60"
"20.60","21.80"
"20.90","25.70"
"21.20","27.70"
"21.30","42.20"
"21.70","42.00"
"22.20","44.00"
"22.80","36.60"
"23.00","25.30"
"24.00","14.40"
"24.20","13.40"
"25.30","17.70"
"25.60","15.60"
"25.90","22.10"
"26.40","38.10"
"26.60","37.50"
"26.80","35.50"
"26.90","15.50"
"27.10","17.40"
"27.30","36.50"
"27.50","41.00"
"27.60","37.40"
"28.00","40.80"
"28.20","43.40"
"28.40","34.60"
"28.60","42.50"
"29.10","40.30"
"29.30","27.00"
"29.40","13.20"
"29.60","25.00"
"30.00","22.80"
"30.10","55.30"
"30.20","36.50"
"30.30","22.60"
"30.40","36.20"
"30.60","53.30"
"30.70","18.30"
"30.80","36.80"
"30.90","12.20"
"31.00","19.00"
"31.30","20.70"
"31.40","34.10"
"31.50","32.50"
"31.70","18.80"
"31.90","16.10"
"32.00","37.90"
"32.10","27.00"
"32.30","48.00"
"32.40","40.20"
"32.50","36.30"
"32.60","40.60"
"32.70","30.50"
"32.80","48.20"
"32.90","47.10"
"33.00","42.00"
"33.20","46.10"
"33.30","39.40"
"33.40","42.20"
"33.50","23.50"
